"Unidade da Federação";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Out";"2011/Nov";"2011/Set";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";" Total"
"11 Rondônia";"1";"15";"35";"0";"5";"3";"1";"0";"7";"8";"4";"5";"2";"7";"7";"8";"0";"4";"4";"5";"4";"7";"2";"4";"4";"6";"1";"6";"11";"0";"7";"10";"1";"10";"9";"15";"7";"11";"4";"8";"8";"8";"8";"6";"5";"17";"4";"19";"11";"10";"4";"1";"16";"4";"4";"16";"8";"7";"23";"4";"7";"18";"12";"7";"12";"12";"11";"5";"8";"26";"21";"9";"14";"17";"20";"36";"15";"22";"14";"13";"2";"9";"7";"10";"19";"18";"14";"7";"3";"7";"13";"27";"19";"14";"3";"11";"8";"11";"13";"17";"36";"22";"21";"24";"45";"17";"19";"8";"10";"23";"25";"7";"20";"14";"15";"12";"17";"39";"35";"13";"16";"34";"14";"11";"24";"13";"26";"14";"13";"7";"21";"7";"17";"38";"39";"17";"11";"26";"21";"30";"23";"25";"31";"27";"39";"13";"9";"14";"7";"9";"9";"12";"17";"14";"4";"16";"8";"8";"2";"2";"5";"1";"2";"7";"2";"2";"0";"0";"3";"6";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2118"
"12 Acre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"1";"1";"1";"2";"10";"0";"2";"0";"0";"7";"2";"0";"0";"0";"0";"10";"0";"1";"0";"11";"1";"2";"1";"6";"4";"1";"1";"2";"0";"0";"1";"4";"3";"5";"6";"5";"6";"6";"8";"6";"13";"5";"3";"4";"7";"4";"4";"17";"30";"3";"14";"9";"5";"2";"10";"9";"14";"6";"14";"6";"8";"1";"17";"11";"13";"16";"0";"0";"10";"9";"9";"3";"2";"14";"11";"7";"0";"3";"10";"11";"3";"2";"0";"4";"3";"1";"6";"0";"0";"0";"0";"1";"0";"0";"3";"2";"6";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"2";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"3";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"521"
"13 Amazonas";"0";"0";"1";"0";"0";"0";"0";"3";"5";"2";"4";"4";"0";"3";"3";"9";"3";"9";"4";"19";"7";"3";"2";"8";"4";"6";"1";"25";"18";"23";"42";"9";"21";"25";"21";"3";"8";"6";"7";"22";"46";"25";"19";"31";"35";"19";"18";"14";"21";"5";"22";"20";"6";"7";"10";"32";"7";"24";"17";"30";"26";"16";"14";"35";"27";"16";"41";"15";"29";"22";"27";"44";"41";"23";"27";"27";"26";"25";"46";"16";"32";"40";"25";"40";"10";"35";"14";"31";"20";"37";"34";"79";"45";"33";"36";"49";"35";"12";"33";"70";"59";"32";"36";"50";"45";"41";"41";"59";"17";"31";"43";"37";"25";"9";"33";"48";"17";"12";"16";"23";"2";"13";"7";"9";"15";"8";"8";"15";"10";"7";"8";"11";"2";"3";"16";"4";"15";"19";"21";"7";"3";"4";"2";"2";"18";"2";"0";"5";"0";"0";"0";"10";"0";"2";"0";"2";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"2";"0";"0";"0";"0";"6";"2";"0";"0";"0";"3";"2";"0";"0";"2";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2952"
"14 Roraima";"0";"0";"4";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"1";"0";"4";"1";"0";"5";"2";"1";"0";"0";"0";"2";"0";"4";"0";"0";"3";"0";"5";"0";"0";"0";"0";"0";"0";"4";"2";"6";"8";"0";"0";"0";"0";"2";"0";"2";"3";"8";"7";"13";"3";"1";"5";"5";"0";"3";"3";"3";"0";"0";"8";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"4";"0";"0";"2";"0";"0";"1";"0";"0";"9";"0";"0";"4";"2";"3";"0";"0";"2";"3";"0";"0";"2";"0";"3";"5";"0";"10";"0";"0";"1";"5";"0";"0";"0";"0";"0";"11";"0";"6";"0";"0";"0";"0";"10";"3";"2";"1";"0";"0";"2";"3";"5";"0";"0";"0";"3";"0";"0";"5";"2";"8";"0";"2";"4";"0";"3";"22";"6";"4";"8";"6";"11";"2";"8";"5";"0";"2";"16";"11";"3";"28";"5";"3";"0";"8";"0";"5";"14";"7";"5";"0";"12";"0";"0";"5";"10";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"472"
"15 Pará";"88";"602";"783";"82";"62";"100";"95";"153";"58";"89";"78";"107";"78";"143";"86";"113";"106";"97";"110";"102";"112";"88";"100";"153";"98";"97";"91";"86";"120";"86";"100";"61";"51";"96";"99";"89";"98";"73";"60";"140";"100";"154";"160";"162";"131";"144";"122";"115";"142";"126";"90";"170";"157";"259";"232";"207";"309";"263";"333";"191";"178";"142";"164";"259";"305";"299";"266";"291";"199";"203";"151";"197";"181";"154";"325";"167";"177";"234";"271";"165";"213";"257";"221";"167";"132";"191";"144";"174";"270";"323";"287";"230";"248";"288";"244";"259";"297";"248";"210";"266";"315";"416";"321";"481";"398";"291";"260";"240";"161";"202";"112";"296";"207";"207";"266";"230";"270";"231";"155";"187";"269";"220";"136";"226";"133";"131";"126";"138";"119";"145";"147";"80";"72";"104";"115";"115";"103";"96";"121";"157";"117";"68";"31";"0";"13";"16";"10";"18";"8";"29";"11";"19";"4";"33";"10";"10";"2";"0";"9";"4";"0";"8";"15";"17";"9";"2";"19";"5";"0";"8";"12";"8";"15";"1";"6";"6";"12";"6";"7";"10";"2";"4";"0";"11";"12";"9";"17";"11";"9";"4";"13";"11";"9";"2";"9";"0";"9";"15";"8";"3";"20";"14";"24";"11";"13";"11";"5";"2";"1";"0";"5";"0";"26435"
"16 Amapá";"256";"139";"197";"22";"39";"34";"43";"34";"28";"23";"60";"17";"18";"0";"26";"3";"1";"42";"24";"21";"45";"21";"21";"50";"32";"12";"5";"57";"27";"28";"34";"52";"19";"54";"31";"52";"50";"40";"6";"37";"40";"34";"28";"41";"16";"34";"24";"8";"39";"10";"24";"48";"11";"17";"52";"45";"22";"33";"15";"26";"53";"52";"1";"18";"15";"34";"39";"19";"31";"26";"18";"28";"34";"7";"6";"25";"60";"39";"54";"39";"32";"23";"33";"54";"24";"33";"42";"53";"14";"54";"76";"54";"88";"51";"69";"68";"41";"36";"9";"39";"48";"34";"56";"105";"24";"37";"64";"35";"12";"19";"25";"41";"29";"64";"41";"31";"57";"59";"79";"67";"26";"25";"2";"14";"57";"25";"32";"41";"29";"52";"17";"24";"64";"9";"5";"20";"18";"51";"28";"32";"70";"84";"37";"30";"7";"25";"3";"35";"18";"22";"55";"33";"2";"13";"9";"15";"0";"4";"23";"16";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"4";"0";"8";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"6";"4";"2";"4";"4";"3";"6";"0";"0";"2";"0";"0";"0";"1";"0";"2";"5825"
"17 Tocantins";"0";"0";"8";"8";"1";"3";"4";"7";"0";"9";"0";"0";"14";"13";"21";"6";"30";"22";"5";"14";"9";"4";"4";"1";"1";"0";"5";"3";"16";"3";"8";"18";"11";"8";"17";"8";"9";"15";"4";"9";"4";"20";"16";"14";"17";"7";"7";"2";"8";"28";"14";"15";"20";"18";"12";"12";"13";"2";"14";"24";"26";"15";"31";"35";"29";"31";"29";"21";"38";"34";"23";"24";"35";"30";"52";"23";"35";"48";"46";"23";"13";"26";"8";"39";"38";"39";"12";"31";"23";"5";"24";"24";"34";"21";"20";"24";"36";"15";"41";"27";"23";"40";"28";"58";"42";"17";"20";"38";"25";"45";"36";"46";"50";"27";"39";"46";"45";"52";"21";"21";"58";"56";"23";"33";"30";"20";"49";"41";"26";"15";"23";"20";"23";"31";"29";"18";"4";"4";"17";"23";"6";"16";"28";"9";"8";"0";"0";"4";"3";"0";"1";"1";"5";"0";"4";"0";"3";"0";"0";"1";"8";"13";"17";"3";"4";"2";"2";"0";"0";"3";"0";"4";"5";"6";"0";"3";"3";"2";"2";"2";"7";"2";"6";"10";"7";"3";"8";"0";"3";"0";"6";"3";"6";"0";"3";"4";"29";"21";"16";"4";"5";"0";"2";"0";"3";"9";"0";"6";"0";"0";"0";"2";"3308"
"21 Maranhão";"10";"4";"12";"3";"2";"0";"0";"0";"4";"4";"0";"0";"0";"0";"0";"1";"0";"2";"3";"0";"2";"7";"1";"3";"4";"0";"1";"0";"4";"0";"2";"0";"46";"20";"10";"8";"5";"13";"0";"8";"7";"1";"8";"5";"4";"23";"2";"13";"29";"12";"9";"20";"5";"3";"9";"43";"36";"15";"14";"13";"20";"7";"28";"38";"12";"57";"12";"42";"19";"37";"32";"21";"24";"20";"44";"27";"5";"24";"15";"37";"85";"24";"39";"25";"14";"40";"30";"16";"34";"34";"26";"27";"71";"55";"66";"69";"52";"34";"54";"41";"30";"45";"41";"46";"18";"41";"54";"26";"30";"61";"59";"33";"44";"65";"27";"102";"47";"77";"69";"87";"100";"116";"62";"93";"35";"33";"31";"49";"79";"57";"68";"31";"32";"46";"34";"29";"40";"68";"30";"41";"48";"14";"29";"20";"15";"10";"14";"12";"6";"14";"0";"12";"4";"20";"14";"2";"1";"4";"9";"2";"5";"17";"5";"11";"16";"0";"4";"0";"0";"11";"2";"10";"3";"19";"0";"0";"11";"7";"20";"9";"5";"6";"13";"31";"1";"5";"24";"5";"7";"3";"2";"0";"5";"15";"0";"8";"2";"2";"1";"5";"8";"19";"9";"6";"10";"10";"11";"11";"7";"2";"4";"0";"4520"
"22 Piauí";"29";"6";"16";"2";"0";"4";"7";"5";"9";"24";"10";"11";"13";"13";"12";"4";"1";"7";"9";"32";"5";"7";"11";"8";"2";"11";"16";"9";"6";"9";"31";"14";"35";"18";"24";"30";"34";"23";"30";"12";"25";"21";"24";"35";"40";"27";"31";"37";"46";"24";"23";"44";"38";"30";"35";"69";"62";"53";"61";"45";"63";"34";"27";"30";"42";"17";"26";"16";"33";"52";"25";"13";"47";"40";"36";"44";"29";"41";"22";"22";"15";"37";"29";"41";"27";"29";"22";"20";"14";"26";"65";"48";"52";"65";"76";"59";"75";"79";"65";"38";"33";"32";"37";"91";"65";"85";"59";"52";"41";"47";"28";"96";"58";"61";"86";"42";"68";"209";"141";"123";"137";"128";"72";"123";"81";"83";"75";"108";"52";"70";"93";"85";"73";"48";"15";"62";"30";"24";"32";"43";"56";"53";"77";"41";"20";"32";"8";"21";"1";"9";"10";"7";"18";"15";"14";"17";"0";"1";"3";"8";"2";"7";"25";"40";"21";"13";"21";"13";"9";"26";"5";"13";"4";"4";"0";"14";"12";"3";"5";"31";"7";"13";"1";"1";"1";"2";"4";"0";"6";"0";"4";"3";"3";"2";"2";"25";"10";"5";"4";"15";"0";"11";"1";"13";"4";"7";"2";"1";"0";"0";"0";"0";"6574"
"23 Ceará";"0";"0";"0";"0";"2";"8";"0";"0";"5";"0";"0";"0";"5";"2";"0";"7";"10";"1";"0";"7";"0";"16";"11";"0";"6";"1";"5";"6";"12";"8";"1";"0";"4";"2";"2";"3";"0";"1";"0";"0";"3";"3";"0";"4";"1";"1";"4";"59";"6";"25";"0";"7";"2";"2";"7";"2";"3";"14";"11";"3";"4";"4";"2";"11";"25";"20";"2";"7";"2";"26";"10";"9";"9";"17";"7";"10";"18";"22";"12";"24";"5";"15";"15";"16";"19";"14";"13";"11";"20";"14";"21";"11";"9";"9";"6";"2";"12";"23";"38";"6";"5";"6";"16";"2";"19";"21";"18";"25";"11";"11";"5";"30";"12";"17";"22";"14";"21";"36";"19";"26";"34";"37";"20";"9";"28";"48";"49";"13";"33";"23";"14";"19";"21";"25";"15";"5";"12";"23";"6";"10";"10";"12";"21";"17";"23";"14";"20";"2";"9";"10";"20";"7";"17";"26";"29";"24";"16";"17";"5";"3";"9";"19";"0";"5";"0";"3";"5";"0";"1";"3";"2";"0";"1";"4";"0";"2";"10";"0";"0";"0";"0";"2";"1";"3";"3";"0";"0";"0";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1963"
